Row Labels,Max of BLK,Max of G,Average of FG,Count of Year
A.C. Green,80,83,265.4444444,18
A.J. Bramlett,0,8,4,1
A.J. English,15,81,308.5,2
A.J. Guyton,7,45,55.33333333,3
A.J. Hammons,13,22,17,1
A.J. Price,3,57,66.66666667,9
A.J. Wynder,0,6,3,1
A.W. Holt,,6,1,1
Aaron Brooks,15,82,188.6,15
Aaron Gordon,55,80,253.3333333,3
Aaron Gray,18,61,46.27272727,11
Aaron Harrison,0,21,2.5,2
Aaron James,22,80,321.8,5
Aaron McKie,23,83,150.2352941,17
Aaron Miles,1,19,6,1
Aaron Swinson,0,9,10,1
Aaron Williams,113,82,88.85,20
Abdul Jeelani,40,77,237.5,2
Acie Earl,53,74,71.33333333,6
Acie Law,3,56,42.11111111,9
Adam Harrington,1,19,7.333333333,3
Adam Keefe,41,82,124.4444444,9
Adam Morrison,6,78,109.4,5
Adonal Foyle,205,82,94.64285714,14
Adonis Jordan,1,6,4,2
Adonis Thomas,0,6,4,3
Adreian Payne,11,52,51.6,5
Adrian Branch,11,67,82.75,4
Adrian Caldwell,18,51,25.5,8
Adrian Dantley*,24,81,485.1052632,19
Adrian Griffin,15,74,74.09090909,11
Adrian Smith,,82,270,12
Al Attles,,79,227.1818182,11
Al Bianchi,,80,221.2,10
Al Butler,,76,213.1666667,6
Al Carlson,11,28,27,1
Al Cervi*,,56,101.25,4
Al Eberhard,15,81,141.5,4
Al Ferrari,,79,146.3333333,6
Al Fleming,5,20,15,1
Al Guokas,,57,62,3
Al Hairston,,39,20.5,2
Al Harrington,33,82,302.75,20
Al Henry,,43,34.5,2
Al Horford,121,82,392.3,10
Al Jackson,,2,0,1
Al Jefferson,153,82,465.3846154,13
Al Masino,,72,46.5,4
Al Miksis,,8,5,1
Al Roges,,67,121.5,2
Al Skinner,53,79,126.125,8
Al Thornton,62,79,236.625,8
Al Tucker,,84,187.875,8
Al Wood,52,81,269.875,8
Alaa Abdelnaby,26,75,109.2222222,9
Alan Anderson,11,78,105.375,8
Alan Hardy,9,38,42,2
Alan Henderson,54,82,164.6666667,12
Alan Ogg,28,43,16,5
Alan Sawyer,,33,87,1
Alan Williams,32,47,74,2
Alando Tucker,1,30,18.8,5
Albert King,41,79,301,9
Alec Burks,14,78,175.5,6
Alec Kessler,32,78,106.25,4
Aleksandar Djordjevic,0,8,8,1
Aleksandar Radojevic,2,12,4,2
Alex Abrines,8,68,134,1
Alex Acker,4,25,16,4
Alex Blackwell,2,27,14,1
Alex Bradley,5,39,54,1
Alex English*,126,82,659.5294118,17
Alex Garcia,1,8,9.5,2
Alex Groza,,66,506.5,2
Alex Hannum*,,72,147.75,8
Alex Kirk,0,5,1,1
Alex Len,105,78,176.5,4
Alex Poythress,2,6,25,1
Alex Scales,0,1,0,1
Alex Stepheson,5,8,6,3
Alex Stivrins,2,19,6.5,6
Alexander Johnson,35,59,76,2
Alexander Volkov,30,77,194,2
Alexey Shved,27,77,96.33333333,6
Alexis Ajinca,51,68,78.22222222,9
Al-Farouq Aminu,62,82,199.7142857,7
Alfred McGuire*,,64,62.75,4
Alfredrick Hughes,5,68,152,1
Allan Bristow,15,82,219.6666667,9
Allan Houston,24,82,444.75,12
Allan Ray,3,47,100,1
Allen Crabbe,20,81,172.25,4
Allen Iverson*,25,82,476.6,20
Allen Leavell,28,82,254.9,10
Allen Murphy,0,2,1,1
Allie McGuire,0,2,2,1
Alonzo Bradley,6,43,61.33333333,3
Alonzo Gee,29,82,93,13
Alonzo Mourning*,294,79,306.8235294,17
Alphonso Ford,0,6,8,2
Alton Ford,7,53,23.33333333,3
Alton Lister,180,82,142.5,18
Alvan Adams,116,82,439.1538462,13
Alvin Heggs,0,4,3,1
Alvin Jones,9,23,8,1
Alvin Robertson,69,82,388.25,12
Alvin Scott,70,82,146.375,8
Alvin Sims,0,4,4,1
Alvin Williams,26,82,162.6363636,11
Amal McCaskill,20,59,20.25,4
Amar'e Stoudemire,163,82,386.5,16
Amir Johnson,110,82,194.9166667,12
Anderson Varejao,67,81,123.8,15
Andrae Patterson,7,35,23,2
Andray Blatche,114,82,258.5555556,9
Andre Barrett,1,38,21.5,8
Andre Brown,4,38,27.33333333,3
Andre Dawkins,0,4,1,1
Andre Drummond,153,82,443.2,5
Andre Emmett,1,8,3,2
Andre Iguodala,55,82,349.4615385,13
Andre McCarter,0,59,56.66666667,3
Andre Miller,34,82,270.76,25
Andre Moore,1,10,6,3
Andre Owens,3,31,33.5,2
Andre Roberson,79,79,119,4
Andre Spencer,7,28,41.66666667,6
Andre Turner,2,70,39.75,8
Andre Wakefield,2,73,32.5,4
Andrea Bargnani,111,80,293.2,10
Andreas Glyniadakis,0,13,8,1
Andrei Kirilenko,220,82,242,13
Andres Guibert,1,17,11,2
Andres Nocioni,52,82,223.1,10
Andrew Bogut,175,82,213.5,14
Andrew Bynum,128,82,201.1,10
Andrew DeClercq,66,82,104.6666667,12
Andrew Gaze,1,19,8,2
Andrew Goudelock,2,40,25.66666667,3
Andrew Harrison,20,72,117,1
Andrew Lang,201,82,152.3571429,14
Andrew Levane,,60,71,2
Andrew Nicholson,32,76,107.2857143,7
Andrew Toney,24,81,357.375,8
Andrew Wiggins,50,82,600,3
Andris Biedrins,136,82,143.2,10
Andy Duncan,,67,66,2
Andy Johnson,,79,270.75,4
Andy O'Donnell,,25,38,1
Andy Panko,0,1,0,1
Andy Phillip*,,71,210.5555556,9
